std_district_name,std_school_name,school_emis_code,std_type,std_gender,english_total,urdu_total,math_total,sci_total,isl_total,ethics_total,student_total,student_status
ATTOCK,AHMED PUBLIC ELEMENTARY SCHOOL DHOKE SAYEDAN,pec-1022812,2,FEMALE,48,70,22,33,68,,241,PROMOTED
ATTOCK,AHMED PUBLIC ELEMENTARY SCHOOL DHOKE SAYEDAN,pec-1022812,2,FEMALE,66,75,43,42,71,,297,PASS
ATTOCK,AHSAN MEMORIAL PUBLIC SCHOOL KAMRA KALLAN ATTOCK,pec-1020710,2,0,34,63,30,22,52,,201,FAIL
ATTOCK,AHSAN MEMORIAL PUBLIC SCHOOL KAMRA KALLAN ATTOCK,pec-1020710,2,0,36,63,57,20,63,,239,PROMOTED
ATTOCK,AHSAN MEMORIAL PUBLIC SCHOOL KAMRA KALLAN ATTOCK,pec-1020710,2,0,25,40,38,23,43,,169,FAIL
ATTOCK,AHSAN MEMORIAL PUBLIC SCHOOL KAMRA KALLAN ATTOCK,pec-1020710,2,0,23,56,11,18,64,,172,FAIL
ATTOCK,AHSAN MEMORIAL PUBLIC SCHOOL KAMRA KALLAN ATTOCK,pec-1020710,2,0,37,55,43,28,71,,234,PASS WITH GRACE MARKS
ATTOCK,AL AMEER MEMORIAL SECONDARY HAZRO,pec-1028232,2,FEMALE,48,72,41,15,80,,256,PROMOTED
ATTOCK,AL AMEER MEMORIAL SECONDARY HAZRO,pec-1028232,2,FEMALE,34,65,29,27,67,,222,FAIL
ATTOCK,AL BERUNI PUBLIC SCHOOL,pec-1036603,2,0,70,62,73,21,82,,308,PROMOTED
ATTOCK,AL BERUNI PUBLIC SCHOOL,pec-1036603,2,0,58,66,58,37,72,,291,PASS
